Route,Cost,Region
['Countdown Auckland City'],340.431875,Central Region
['Countdown Blockhouse Bay'],247.01875,Central Region
['Countdown Greenlane'],274.36125000000004,Central Region
['Countdown Grey Lynn'],289.46125,Central Region
['Countdown Grey Lynn Central'],352.4775,Central Region
['Countdown Lynfield'],250.26687499999997,Central Region
['Countdown Mt Eden'],306.27750000000003,Central Region
['Countdown Mt Roskill'],273.57124999999996,Central Region
['Countdown Newmarket'],311.63875,Central Region
['Countdown Onehunga'],201.524375,Central Region
['Countdown Ponsonby'],309.87,Central Region
['Countdown Pt Chevalier'],328.020625,Central Region
['Countdown St Lukes'],246.33187500000003,Central Region
['Countdown Three Kings'],227.93,Central Region
['Countdown Victoria Street West'],333.12375,Central Region
"['Countdown Auckland City', 'Countdown Blockhouse Bay']",482.84125,Central Region
"['Countdown Auckland City', 'Countdown Greenlane']",476.85375,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn']",459.80875000000003,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn Central']",541.71,Central Region
"['Countdown Auckland City', 'Countdown Lynfield']",494.13625,Central Region
"['Countdown Auckland City', 'Countdown Mt Eden']",502.625625,Central Region
"['Countdown Auckland City', 'Countdown Mt Roskill']",511.186875,Central Region
"['Countdown Auckland City', 'Countdown Newmarket']",479.96625000000006,Central Region
"['Countdown Auckland City', 'Countdown Onehunga']",471.020625,Central Region
"['Countdown Auckland City', 'Countdown Ponsonby']",474.0275,Central Region
"['Countdown Auckland City', 'Countdown Pt Chevalier']",509.45375,Central Region
"['Countdown Auckland City', 'Countdown St Lukes']",445.65312499999993,Central Region
"['Countdown Auckland City', 'Countdown Three Kings']",461.16875,Central Region
"['Countdown Auckland City', 'Countdown Victoria Street West']",461.9225,Central Region
"['Countdown Blockhouse Bay', 'Countdown Greenlane']",462.539375,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn']",429.141875,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn Central']",492.15875,Central Region
"['Countdown Blockhouse Bay', 'Countdown Lynfield']",368.698125,Central Region
"['Countdown Blockhouse Bay', 'Countdown Mt Eden']",456.805625,Central Region
"['Countdown Blockhouse Bay', 'Countdown Mt Roskill']",415.2975,Central Region
"['Countdown Blockhouse Bay', 'Countdown Newmarket']",465.651875,Central Region
"['Countdown Blockhouse Bay', 'Countdown Onehunga']",377.606875,Central Region
"['Countdown Blockhouse Bay', 'Countdown Ponsonby']",449.55062499999997,Central Region
"['Countdown Blockhouse Bay', 'Countdown Pt Chevalier']",447.76125,Central Region
"['Countdown Blockhouse Bay', 'Countdown St Lukes']",380.239375,Central Region
"['Countdown Blockhouse Bay', 'Countdown Three Kings']",393.373125,Central Region
"['Countdown Blockhouse Bay', 'Countdown Victoria Street West']",472.805,Central Region
