Route,Cost
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Blockhouse Bay', 'Distribution Centre Auckland')",679.71625
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Greenlane', 'Distribution Centre Auckland')",701.85375
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Grey Lynn', 'Distribution Centre Auckland')",712.93375
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Grey Lynn Central', 'Distribution Centre Auckland')",710.46
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Lynfield', 'Distribution Centre Auckland')",691.01125
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Mt Eden', 'Distribution Centre Auckland')",727.625625
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Mt Roskill', 'Distribution Centre Auckland')",708.061875
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Newmarket', 'Distribution Centre Auckland')",704.9662500000001
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Onehunga', 'Distribution Centre Auckland')",696.020625
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Ponsonby', 'Distribution Centre Auckland')",755.2774999999999
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",678.20375
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown St Lukes', 'Distribution Centre Auckland')",642.5281249999999
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Three Kings', 'Distribution Centre Auckland')",686.16875
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",743.1724999999999
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",542.6956250000001
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",559.3050000000001
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Greenlane', 'Distribution Centre Auckland')",715.6643750000001
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Grey Lynn', 'Distribution Centre Auckland')",710.391875
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Grey Lynn Central', 'Distribution Centre Auckland')",689.03375
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Lynfield', 'Distribution Centre Auckland')",593.6981249999999
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Mt Eden', 'Distribution Centre Auckland')",709.930625
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Mt Roskill', 'Distribution Centre Auckland')",640.2974999999999
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Newmarket', 'Distribution Centre Auckland')",718.776875
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Onehunga', 'Distribution Centre Auckland')",630.731875
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Ponsonby', 'Distribution Centre Auckland')",758.925625
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",644.63625
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown St Lukes', 'Distribution Centre Auckland')",605.239375
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Three Kings', 'Distribution Centre Auckland')",646.498125
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",782.1800000000001
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",590.6481249999999
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",592.143125
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Grey Lynn', 'Distribution Centre Auckland')",739.0575
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Grey Lynn Central', 'Distribution Centre Auckland')",727.3975
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Lynfield', 'Distribution Centre Auckland')",710.935
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Mt Eden', 'Distribution Centre Auckland')",724.1825
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Mt Roskill', 'Distribution Centre Auckland')",703.9412500000001
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Newmarket', 'Distribution Centre Auckland')",709.4375
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Onehunga', 'Distribution Centre Auckland')",661.03
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Ponsonby', 'Distribution Centre Auckland')",782.2762499999999
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",698.128125
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown St Lukes', 'Distribution Centre Auckland')",662.4525
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Three Kings', 'Distribution Centre Auckland')",677.690625
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",788.868125
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",601.926875
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",610.375
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Grey Lynn Central', 'Distribution Centre Auckland')",714.36
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Lynfield', 'Distribution Centre Auckland')",724.415625
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Mt Eden', 'Distribution Centre Auckland')",757.995
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Mt Roskill', 'Distribution Centre Auckland')",731.54125
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Newmarket', 'Distribution Centre Auckland')",756.209375
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Onehunga', 'Distribution Centre Auckland')",729.425
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Ponsonby', 'Distribution Centre Auckland')",777.578125
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",704.0462500000001
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown St Lukes', 'Distribution Centre Auckland')",669.883125
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Three Kings', 'Distribution Centre Auckland')",745.19125
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",810.70375
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",616.45625
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",610.233125
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Lynfield', 'Distribution Centre Auckland')",703.056875
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Mt Eden', 'Distribution Centre Auckland')",733.6125
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Mt Roskill', 'Distribution Centre Auckland')",707.15875
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Newmarket', 'Distribution Centre Auckland')",740.923125
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Onehunga', 'Distribution Centre Auckland')",708.06625
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Ponsonby', 'Distribution Centre Auckland')",761.0887499999999
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",685.229375
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown St Lukes', 'Distribution Centre Auckland')",645.5
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Three Kings', 'Distribution Centre Auckland')",723.8325
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",804.325625
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",612.794375
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",614.01875
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown Mt Eden', 'Distribution Centre Auckland')",718.6287500000001
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown Mt Roskill', 'Distribution Centre Auckland')",648.2106249999999
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown Newmarket', 'Distribution Centre Auckland')",731.150625
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown Onehunga', 'Distribution Centre Auckland')",633.98
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown Ponsonby', 'Distribution Centre Auckland')",771.2987499999999
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",663.13
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown St Lukes', 'Distribution Centre Auckland')",617.613125
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown Three Kings', 'Distribution Centre Auckland')",643.094375
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",794.553125
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",603.02125
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",604.51625
"('Distribution Centre Auckland', 'Countdown Mt Eden', 'Countdown Mt Roskill', 'Distribution Centre Auckland')",722.7275
"('Distribution Centre Auckland', 'Countdown Mt Eden', 'Countdown Newmarket', 'Distribution Centre Auckland')",751.22875
"('Distribution Centre Auckland', 'Countdown Mt Eden', 'Countdown Onehunga', 'Distribution Centre Auckland')",718.11625
"('Distribution Centre Auckland', 'Countdown Mt Eden', 'Countdown Ponsonby', 'Distribution Centre Auckland')",803.14625
"('Distribution Centre Auckland', 'Countdown Mt Eden', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",721.5193750000001
"('Distribution Centre Auckland', 'Countdown Mt Eden', 'Countdown St Lukes', 'Distribution Centre Auckland')",664.18
"('Distribution Centre Auckland', 'Countdown Mt Eden', 'Countdown Three Kings', 'Distribution Centre Auckland')",709.81125
