Route,Cost
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Blockhouse Bay', 'Distribution Centre Auckland')",707.84125
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Greenlane', 'Distribution Centre Auckland')",758.10375
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Grey Lynn', 'Distribution Centre Auckland')",712.93375
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Grey Lynn Central', 'Distribution Centre Auckland')",738.585
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Lynfield', 'Distribution Centre Auckland')",747.26125
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Mt Eden', 'Distribution Centre Auckland')",671.375625
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Mt Roskill', 'Distribution Centre Auckland')",736.186875
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Newmarket', 'Distribution Centre Auckland')",676.8412500000001
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Onehunga', 'Distribution Centre Auckland')",667.895625
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Ponsonby', 'Distribution Centre Auckland')",670.9024999999999
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",706.32875
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown St Lukes', 'Distribution Centre Auckland')",698.7781249999999
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Three Kings', 'Distribution Centre Auckland')",770.54375
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",715.0474999999999
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",598.9456250000001
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",587.4300000000001
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Greenlane', 'Distribution Centre Auckland')",743.7893750000001
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Grey Lynn', 'Distribution Centre Auckland')",682.266875
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Grey Lynn Central', 'Distribution Centre Auckland')",689.03375
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Lynfield', 'Distribution Centre Auckland')",621.8231249999999
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Mt Eden', 'Distribution Centre Auckland')",625.555625
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Mt Roskill', 'Distribution Centre Auckland')",640.2974999999999
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Newmarket', 'Distribution Centre Auckland')",662.526875
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Onehunga', 'Distribution Centre Auckland')",574.481875
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Ponsonby', 'Distribution Centre Auckland')",646.425625
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",644.63625
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown St Lukes', 'Distribution Centre Auckland')",633.364375
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Three Kings', 'Distribution Centre Auckland')",702.748125
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",725.9300000000001
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",618.7731249999999
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",592.143125
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Grey Lynn', 'Distribution Centre Auckland')",739.0575
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Grey Lynn Central', 'Distribution Centre Auckland')",755.5225
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Lynfield', 'Distribution Centre Auckland')",767.1850000000001
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Mt Eden', 'Distribution Centre Auckland')",667.9325
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Mt Roskill', 'Distribution Centre Auckland')",732.0662500000001
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Newmarket', 'Distribution Centre Auckland')",681.3125
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Onehunga', 'Distribution Centre Auckland')",632.905
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Ponsonby', 'Distribution Centre Auckland')",697.9012499999999
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",726.253125
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown St Lukes', 'Distribution Centre Auckland')",718.7025
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Three Kings', 'Distribution Centre Auckland')",762.065625
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",760.743125
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",658.176875
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",638.5
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Grey Lynn Central', 'Distribution Centre Auckland')",686.235
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Lynfield', 'Distribution Centre Auckland')",724.415625
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Mt Eden', 'Distribution Centre Auckland')",645.495
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Mt Roskill', 'Distribution Centre Auckland')",703.41625
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Newmarket', 'Distribution Centre Auckland')",671.834375
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Onehunga', 'Distribution Centre Auckland')",645.05
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Ponsonby', 'Distribution Centre Auckland')",636.953125
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",675.9212500000001
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown St Lukes', 'Distribution Centre Auckland')",669.883125
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Three Kings', 'Distribution Centre Auckland')",773.31625
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",726.32875
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",616.45625
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",582.108125
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Lynfield', 'Distribution Centre Auckland')",731.181875
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Mt Eden', 'Distribution Centre Auckland')",649.2375
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Mt Roskill', 'Distribution Centre Auckland')",707.15875
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Newmarket', 'Distribution Centre Auckland')",684.673125
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Onehunga', 'Distribution Centre Auckland')",651.81625
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Ponsonby', 'Distribution Centre Auckland')",648.5887499999999
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",685.229375
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown St Lukes', 'Distribution Centre Auckland')",673.625
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Three Kings', 'Distribution Centre Auckland')",780.0825
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",748.075625
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",640.919375
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",614.01875
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown Mt Eden', 'Distribution Centre Auckland')",662.3787500000001
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown Mt Roskill', 'Distribution Centre Auckland')",676.3356249999999
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown Newmarket', 'Distribution Centre Auckland')",703.025625
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown Onehunga', 'Distribution Centre Auckland')",605.855
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown Ponsonby', 'Distribution Centre Auckland')",686.9237499999999
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",691.255
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown St Lukes', 'Distribution Centre Auckland')",673.863125
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown Three Kings', 'Distribution Centre Auckland')",727.469375
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",766.428125
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",659.27125
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",632.64125
"('Distribution Centre Auckland', 'Countdown Mt Eden', 'Countdown Mt Roskill', 'Distribution Centre Auckland')",638.3525
"('Distribution Centre Auckland', 'Countdown Mt Eden', 'Countdown Newmarket', 'Distribution Centre Auckland')",610.60375
"('Distribution Centre Auckland', 'Countdown Mt Eden', 'Countdown Onehunga', 'Distribution Centre Auckland')",577.49125
"('Distribution Centre Auckland', 'Countdown Mt Eden', 'Countdown Ponsonby', 'Distribution Centre Auckland')",606.27125
"('Distribution Centre Auckland', 'Countdown Mt Eden', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",637.1443750000001
"('Distribution Centre Auckland', 'Countdown Mt Eden', 'Countdown St Lukes', 'Distribution Centre Auckland')",607.93
"('Distribution Centre Auckland', 'Countdown Mt Eden', 'Countdown Three Kings', 'Distribution Centre Auckland')",681.68625
"('Distribution Centre Auckland', 'Countdown Mt Eden', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",680.806875
"('Distribution Centre Auckland', 'Countdown Mt Eden', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",589.0625
"('Distribution Centre Auckland', 'Countdown Mt Eden', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",569.385625
"('Distribution Centre Auckland', 'Countdown Mt Roskill', 'Countdown Newmarket', 'Distribution Centre Auckland')",680.12125
"('Distribution Centre Auckland', 'Countdown Mt Roskill', 'Countdown Onehunga', 'Distribution Centre Auckland')",601.035
"('Distribution Centre Auckland', 'Countdown Mt Roskill', 'Countdown Ponsonby', 'Distribution Centre Auckland')",670.245625
"('Distribution Centre Auckland', 'Countdown Mt Roskill', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",679.086875
"('Distribution Centre Auckland', 'Countdown Mt Roskill', 'Countdown St Lukes', 'Distribution Centre Auckland')",649.439375
"('Distribution Centre Auckland', 'Countdown Mt Roskill', 'Countdown Three Kings', 'Distribution Centre Auckland')",714.10375
"('Distribution Centre Auckland', 'Countdown Mt Roskill', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",761.139375
"('Distribution Centre Auckland', 'Countdown Mt Roskill', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",653.9825000000001
"('Distribution Centre Auckland', 'Countdown Mt Roskill', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",627.3525
"('Distribution Centre Auckland', 'Countdown Newmarket', 'Countdown Onehunga', 'Distribution Centre Auckland')",610.9775
"('Distribution Centre Auckland', 'Countdown Newmarket', 'Countdown Ponsonby', 'Distribution Centre Auckland')",621.0587499999999
"('Distribution Centre Auckland', 'Countdown Newmarket', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",649.410625
"('Distribution Centre Auckland', 'Countdown Newmarket', 'Countdown St Lukes', 'Distribution Centre Auckland')",641.86
"('Distribution Centre Auckland', 'Countdown Newmarket', 'Countdown Three Kings', 'Distribution Centre Auckland')",694.556875
"('Distribution Centre Auckland', 'Countdown Newmarket', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",683.90125
"('Distribution Centre Auckland', 'Countdown Newmarket', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",581.335
"('Distribution Centre Auckland', 'Countdown Newmarket', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",561.658125
"('Distribution Centre Auckland', 'Countdown Onehunga', 'Countdown Ponsonby', 'Distribution Centre Auckland')",625.298125
"('Distribution Centre Auckland', 'Countdown Onehunga', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",643.44875
"('Distribution Centre Auckland', 'Countdown Onehunga', 'Countdown St Lukes', 'Distribution Centre Auckland')",618.01
"('Distribution Centre Auckland', 'Countdown Onehunga', 'Countdown Three Kings', 'Distribution Centre Auckland')",641.2418749999999
"('Distribution Centre Auckland', 'Countdown Onehunga', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",704.8025
"('Distribution Centre Auckland', 'Countdown Onehunga', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",578.9449999999999
"('Distribution Centre Auckland', 'Countdown Onehunga', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",559.268125
"('Distribution Centre Auckland', 'Countdown Ponsonby', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",642.621875
"('Distribution Centre Auckland', 'Countdown Ponsonby', 'Countdown St Lukes', 'Distribution Centre Auckland')",631.0174999999999
"('Distribution Centre Auckland', 'Countdown Ponsonby', 'Countdown Three Kings', 'Distribution Centre Auckland')",720.975625
"('Distribution Centre Auckland', 'Countdown Ponsonby', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",682.940625
"('Distribution Centre Auckland', 'Countdown Ponsonby', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",576.35375
"('Distribution Centre Auckland', 'Countdown Ponsonby', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",556.399375
"('Distribution Centre Auckland', 'Countdown Pt Chevalier', 'Countdown St Lukes', 'Distribution Centre Auckland')",656.0275
"('Distribution Centre Auckland', 'Countdown Pt Chevalier', 'Countdown Three Kings', 'Distribution Centre Auckland')",755.625
"('Distribution Centre Auckland', 'Countdown Pt Chevalier', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",732.59125
"('Distribution Centre Auckland', 'Countdown Pt Chevalier', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",625.435
"('Distribution Centre Auckland', 'Countdown Pt Chevalier', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",598.804375
"('Distribution Centre Auckland', 'Countdown St Lukes', 'Countdown Three Kings', 'Distribution Centre Auckland')",707.003125
"('Distribution Centre Auckland', 'Countdown St Lukes', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",721.9493749999999
