Route,Cost
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Blockhouse Bay', 'Distribution Centre Auckland')",735.96625
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Greenlane', 'Distribution Centre Auckland')",786.22875
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Grey Lynn', 'Distribution Centre Auckland')",825.43375
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Grey Lynn Central', 'Distribution Centre Auckland')",766.7099999999999
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Lynfield', 'Distribution Centre Auckland')",747.26125
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Mt Eden', 'Distribution Centre Auckland')",755.750625
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Mt Roskill', 'Distribution Centre Auckland')",708.061875
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Newmarket', 'Distribution Centre Auckland')",761.2162500000001
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Onehunga', 'Distribution Centre Auckland')",696.020625
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Ponsonby', 'Distribution Centre Auckland')",755.2774999999999
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",762.57875
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown St Lukes', 'Distribution Centre Auckland')",726.9031249999999
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Three Kings', 'Distribution Centre Auckland')",742.41875
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",743.1724999999999
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",627.0706250000001
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",587.4300000000001
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Greenlane', 'Distribution Centre Auckland')",743.7893750000001
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Grey Lynn', 'Distribution Centre Auckland')",766.641875
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Grey Lynn Central', 'Distribution Centre Auckland')",689.03375
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Lynfield', 'Distribution Centre Auckland')",593.6981249999999
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Mt Eden', 'Distribution Centre Auckland')",681.805625
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Mt Roskill', 'Distribution Centre Auckland')",584.0474999999999
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Newmarket', 'Distribution Centre Auckland')",718.776875
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Onehunga', 'Distribution Centre Auckland')",574.481875
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Ponsonby', 'Distribution Centre Auckland')",702.675625
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",672.76125
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown St Lukes', 'Distribution Centre Auckland')",633.364375
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Three Kings', 'Distribution Centre Auckland')",646.498125
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",725.9300000000001
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",618.7731249999999
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",564.018125
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Grey Lynn', 'Distribution Centre Auckland')",823.4325
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Grey Lynn Central', 'Distribution Centre Auckland')",755.5225
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Lynfield', 'Distribution Centre Auckland')",739.0600000000001
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Mt Eden', 'Distribution Centre Auckland')",724.1825
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Mt Roskill', 'Distribution Centre Auckland')",675.8162500000001
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Newmarket', 'Distribution Centre Auckland')",737.5625
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Onehunga', 'Distribution Centre Auckland')",632.905
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Ponsonby', 'Distribution Centre Auckland')",754.1512499999999
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",754.378125
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown St Lukes', 'Distribution Centre Auckland')",718.7025
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Three Kings', 'Distribution Centre Auckland')",705.815625
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",760.743125
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",658.176875
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",610.375
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Grey Lynn Central', 'Distribution Centre Auckland')",770.61
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Lynfield', 'Distribution Centre Auckland')",780.665625
