Route,Cost,Region
['Countdown Auckland City'],481.056875,Central Region
['Countdown Blockhouse Bay'],387.64375,Central Region
['Countdown Greenlane'],414.98625000000004,Central Region
['Countdown Grey Lynn'],458.21125,Central Region
['Countdown Grey Lynn Central'],436.8525,Central Region
['Countdown Lynfield'],390.891875,Central Region
['Countdown Mt Eden'],390.65250000000003,Central Region
['Countdown Mt Roskill'],386.07124999999996,Central Region
['Countdown Newmarket'],424.13875,Central Region
['Countdown Onehunga'],314.02437499999996,Central Region
['Countdown Ponsonby'],478.62,Central Region
['Countdown Pt Chevalier'],440.520625,Central Region
['Countdown St Lukes'],386.95687499999997,Central Region
['Countdown Three Kings'],396.68,Central Region
['Countdown Victoria Street West'],501.87375,Central Region
['Countdown Metro Albert Street'],366.5925,Central Region
['Countdown Metro Halsey Street'],342.55875000000003,Central Region
"['Countdown Auckland City', 'Countdown Blockhouse Bay']",764.09125,Central Region
"['Countdown Auckland City', 'Countdown Greenlane']",758.10375,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn']",769.18375,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn Central']",766.7099999999999,Central Region
"['Countdown Auckland City', 'Countdown Lynfield']",775.38625,Central Region
"['Countdown Auckland City', 'Countdown Mt Eden']",727.625625,Central Region
"['Countdown Auckland City', 'Countdown Mt Roskill']",764.311875,Central Region
"['Countdown Auckland City', 'Countdown Newmarket']",733.0912500000001,Central Region
"['Countdown Auckland City', 'Countdown Onehunga']",724.145625,Central Region
"['Countdown Auckland City', 'Countdown Ponsonby']",783.4024999999999,Central Region
"['Countdown Auckland City', 'Countdown Pt Chevalier']",762.57875,Central Region
"['Countdown Auckland City', 'Countdown St Lukes']",726.9031249999999,Central Region
"['Countdown Auckland City', 'Countdown Three Kings']",770.54375,Central Region
"['Countdown Auckland City', 'Countdown Victoria Street West']",771.2974999999999,Central Region
"['Countdown Auckland City', 'Countdown Metro Albert Street']",627.0706250000001,Central Region
"['Countdown Auckland City', 'Countdown Metro Halsey Street']",615.5550000000001,Central Region
"['Countdown Blockhouse Bay', 'Countdown Greenlane']",743.7893750000001,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn']",738.516875,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn Central']",717.15875,Central Region
"['Countdown Blockhouse Bay', 'Countdown Lynfield']",649.9481249999999,Central Region
"['Countdown Blockhouse Bay', 'Countdown Mt Eden']",681.805625,Central Region
"['Countdown Blockhouse Bay', 'Countdown Mt Roskill']",668.4224999999999,Central Region
"['Countdown Blockhouse Bay', 'Countdown Newmarket']",718.776875,Central Region
"['Countdown Blockhouse Bay', 'Countdown Onehunga']",630.731875,Central Region
"['Countdown Blockhouse Bay', 'Countdown Ponsonby']",758.925625,Central Region
"['Countdown Blockhouse Bay', 'Countdown Pt Chevalier']",700.88625,Central Region
"['Countdown Blockhouse Bay', 'Countdown St Lukes']",661.489375,Central Region
"['Countdown Blockhouse Bay', 'Countdown Three Kings']",702.748125,Central Region
"['Countdown Blockhouse Bay', 'Countdown Victoria Street West']",782.1800000000001,Central Region
"['Countdown Blockhouse Bay', 'Countdown Metro Albert Street']",646.8981249999999,Central Region
"['Countdown Blockhouse Bay', 'Countdown Metro Halsey Street']",620.268125,Central Region
"['Countdown Greenlane', 'Countdown Grey Lynn']",739.0575,Central Region
"['Countdown Greenlane', 'Countdown Grey Lynn Central']",727.3975,Central Region
"['Countdown Greenlane', 'Countdown Lynfield']",739.06,Central Region
"['Countdown Greenlane', 'Countdown Mt Eden']",667.9325,Central Region
"['Countdown Greenlane', 'Countdown Mt Roskill']",703.9412500000001,Central Region
"['Countdown Greenlane', 'Countdown Newmarket']",681.3125,Central Region
"['Countdown Greenlane', 'Countdown Onehunga']",632.905,Central Region
"['Countdown Greenlane', 'Countdown Ponsonby']",754.1512499999999,Central Region
"['Countdown Greenlane', 'Countdown Pt Chevalier']",726.253125,Central Region
"['Countdown Greenlane', 'Countdown St Lukes']",690.5775,Central Region
"['Countdown Greenlane', 'Countdown Three Kings']",705.815625,Central Region
"['Countdown Greenlane', 'Countdown Victoria Street West']",760.743125,Central Region
"['Countdown Greenlane', 'Countdown Metro Albert Street']",630.051875,Central Region
"['Countdown Greenlane', 'Countdown Metro Halsey Street']",610.375,Central Region
"['Countdown Grey Lynn', 'Countdown Grey Lynn Central']",714.36,Central Region
"['Countdown Grey Lynn', 'Countdown Lynfield']",752.540625,Central Region
"['Countdown Grey Lynn', 'Countdown Mt Eden']",701.745,Central Region
"['Countdown Grey Lynn', 'Countdown Mt Roskill']",731.54125,Central Region
"['Countdown Grey Lynn', 'Countdown Newmarket']",728.084375,Central Region
"['Countdown Grey Lynn', 'Countdown Onehunga']",701.3,Central Region
"['Countdown Grey Lynn', 'Countdown Ponsonby']",749.453125,Central Region
"['Countdown Grey Lynn', 'Countdown Pt Chevalier']",732.1712500000001,Central Region
"['Countdown Grey Lynn', 'Countdown St Lukes']",698.008125,Central Region
"['Countdown Grey Lynn', 'Countdown Three Kings']",773.31625,Central Region
"['Countdown Grey Lynn', 'Countdown Victoria Street West']",782.57875,Central Region
"['Countdown Grey Lynn', 'Countdown Metro Albert Street']",644.58125,Central Region
"['Countdown Grey Lynn', 'Countdown Metro Halsey Street']",610.233125,Central Region
"['Countdown Grey Lynn Central', 'Countdown Lynfield']",731.181875,Central Region
"['Countdown Grey Lynn Central', 'Countdown Mt Eden']",677.3625,Central Region
"['Countdown Grey Lynn Central', 'Countdown Mt Roskill']",707.15875,Central Region
"['Countdown Grey Lynn Central', 'Countdown Newmarket']",712.798125,Central Region
"['Countdown Grey Lynn Central', 'Countdown Onehunga']",679.94125,Central Region
"['Countdown Grey Lynn Central', 'Countdown Ponsonby']",732.9637499999999,Central Region
"['Countdown Grey Lynn Central', 'Countdown Pt Chevalier']",713.354375,Central Region
"['Countdown Grey Lynn Central', 'Countdown St Lukes']",673.625,Central Region
"['Countdown Grey Lynn Central', 'Countdown Three Kings']",751.9575,Central Region
"['Countdown Grey Lynn Central', 'Countdown Victoria Street West']",776.200625,Central Region
"['Countdown Grey Lynn Central', 'Countdown Metro Albert Street']",640.919375,Central Region
"['Countdown Grey Lynn Central', 'Countdown Metro Halsey Street']",614.01875,Central Region
"['Countdown Lynfield', 'Countdown Mt Eden']",690.5037500000001,Central Region
"['Countdown Lynfield', 'Countdown Mt Roskill']",676.3356249999999,Central Region
"['Countdown Lynfield', 'Countdown Newmarket']",731.150625,Central Region
"['Countdown Lynfield', 'Countdown Onehunga']",633.98,Central Region
"['Countdown Lynfield', 'Countdown Ponsonby']",771.2987499999999,Central Region
"['Countdown Lynfield', 'Countdown Pt Chevalier']",719.38,Central Region
"['Countdown Lynfield', 'Countdown St Lukes']",673.863125,Central Region
"['Countdown Lynfield', 'Countdown Three Kings']",699.344375,Central Region
"['Countdown Lynfield', 'Countdown Victoria Street West']",794.553125,Central Region
"['Countdown Lynfield', 'Countdown Metro Albert Street']",659.27125,Central Region
"['Countdown Lynfield', 'Countdown Metro Halsey Street']",632.64125,Central Region
"['Countdown Mt Eden', 'Countdown Mt Roskill']",666.4775,Central Region
"['Countdown Mt Eden', 'Countdown Newmarket']",666.85375,Central Region
"['Countdown Mt Eden', 'Countdown Onehunga']",633.74125,Central Region
"['Countdown Mt Eden', 'Countdown Ponsonby']",718.77125,Central Region
"['Countdown Mt Eden', 'Countdown Pt Chevalier']",693.3943750000001,Central Region
"['Countdown Mt Eden', 'Countdown St Lukes']",636.055,Central Region
"['Countdown Mt Eden', 'Countdown Three Kings']",681.68625,Central Region
"['Countdown Mt Eden', 'Countdown Victoria Street West']",737.056875,Central Region
"['Countdown Mt Eden', 'Countdown Metro Albert Street']",617.1875,Central Region
"['Countdown Mt Eden', 'Countdown Metro Halsey Street']",597.510625,Central Region
"['Countdown Mt Roskill', 'Countdown Newmarket']",708.24625,Central Region
"['Countdown Mt Roskill', 'Countdown Onehunga']",629.16,Central Region
"['Countdown Mt Roskill', 'Countdown Ponsonby']",754.620625,Central Region
"['Countdown Mt Roskill', 'Countdown Pt Chevalier']",707.211875,Central Region
"['Countdown Mt Roskill', 'Countdown St Lukes']",649.439375,Central Region
"['Countdown Mt Roskill', 'Countdown Three Kings']",685.97875,Central Region
"['Countdown Mt Roskill', 'Countdown Victoria Street West']",789.264375,Central Region
"['Countdown Mt Roskill', 'Countdown Metro Albert Street']",653.9825000000001,Central Region
"['Countdown Mt Roskill', 'Countdown Metro Halsey Street']",627.3525,Central Region
"['Countdown Newmarket', 'Countdown Onehunga']",667.2275,Central Region
"['Countdown Newmarket', 'Countdown Ponsonby']",733.5587499999999,Central Region
"['Countdown Newmarket', 'Countdown Pt Chevalier']",705.660625,Central Region
"['Countdown Newmarket', 'Countdown St Lukes']",669.985,Central Region
"['Countdown Newmarket', 'Countdown Three Kings']",694.556875,Central Region
"['Countdown Newmarket', 'Countdown Victoria Street West']",740.15125,Central Region
"['Countdown Newmarket', 'Countdown Metro Albert Street']",609.46,Central Region
"['Countdown Newmarket', 'Countdown Metro Halsey Street']",589.783125,Central Region
"['Countdown Onehunga', 'Countdown Ponsonby']",737.798125,Central Region
"['Countdown Onehunga', 'Countdown Pt Chevalier']",699.69875,Central Region
"['Countdown Onehunga', 'Countdown St Lukes']",646.135,Central Region
"['Countdown Onehunga', 'Countdown Three Kings']",641.2418749999999,Central Region
"['Countdown Onehunga', 'Countdown Victoria Street West']",761.0525,Central Region
"['Countdown Onehunga', 'Countdown Metro Albert Street']",607.0699999999999,Central Region
"['Countdown Onehunga', 'Countdown Metro Halsey Street']",587.393125,Central Region
"['Countdown Ponsonby', 'Countdown Pt Chevalier']",755.121875,Central Region
"['Countdown Ponsonby', 'Countdown St Lukes']",715.3924999999999,Central Region
"['Countdown Ponsonby', 'Countdown Three Kings']",777.225625,Central Region
"['Countdown Ponsonby', 'Countdown Victoria Street West']",795.440625,Central Region
"['Countdown Ponsonby', 'Countdown Metro Albert Street']",660.72875,Central Region
"['Countdown Ponsonby', 'Countdown Metro Halsey Street']",640.774375,Central Region
"['Countdown Pt Chevalier', 'Countdown St Lukes']",684.1525,Central Region
"['Countdown Pt Chevalier', 'Countdown Three Kings']",755.625,Central Region
"['Countdown Pt Chevalier', 'Countdown Victoria Street West']",788.84125,Central Region
"['Countdown Pt Chevalier', 'Countdown Metro Albert Street']",653.5600000000001,Central Region
"['Countdown Pt Chevalier', 'Countdown Metro Halsey Street']",626.929375,Central Region
"['Countdown St Lukes', 'Countdown Three Kings']",678.878125,Central Region
"['Countdown St Lukes', 'Countdown Victoria Street West']",750.0743749999999,Central Region
"['Countdown St Lukes', 'Countdown Metro Albert Street']",623.346875,Central Region
"['Countdown St Lukes', 'Countdown Metro Halsey Street']",596.7168750000001,Central Region
"['Countdown Three Kings', 'Countdown Victoria Street West']",790.785625,Central Region
"['Countdown Three Kings', 'Countdown Metro Albert Street']",660.094375,Central Region
"['Countdown Three Kings', 'Countdown Metro Halsey Street']",640.4175,Central Region
"['Countdown Victoria Street West', 'Countdown Metro Albert Street']",659.7956250000001,Central Region
"['Countdown Victoria Street West', 'Countdown Metro Halsey Street']",638.2318750000001,Central Region
"['Countdown Metro Albert Street', 'Countdown Metro Halsey Street']",495.7018750000001,Central Region
"['Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Greenlane']",1169.178402777778,Central Region
"['Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Grey Lynn']",1162.734236111111,Central Region
"['Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Grey Lynn Central']",1136.6298611111108,Central Region
"['Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Lynfield']",1054.4835416666667,Central Region
"['Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Mt Eden']",1093.4204861111111,Central Region
"['Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Mt Roskill']",1077.063333333333,Central Region
"['Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Newmarket']",1138.6075694444446,Central Region
"['Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Onehunga']",1030.997013888889,Central Region
"['Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Pt Chevalier']",1116.74125,Central Region
"['Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown St Lukes']",1068.5895138888889,Central Region
"['Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Metro Albert Street']",1050.755763888889,Central Region
"['Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Metro Halsey Street']",1018.2079861111112,Central Region
"['Countdown Auckland City', 'Countdown Greenlane', 'Countdown Mt Eden']",1035.7277777777779,Central Region
"['Countdown Auckland City', 'Countdown Greenlane', 'Countdown Newmarket']",1052.0811111111109,Central Region
"['Countdown Auckland City', 'Countdown Greenlane', 'Countdown Onehunga']",992.916388888889,Central Region
"['Countdown Auckland City', 'Countdown Greenlane', 'Countdown St Lukes']",1063.405,Central Region
